"","participants","item","genre_grammatical","score_miserky","description","stereotype","numero_item","question","score","RT","genre_gram_le"
"24","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","croque-mort","la",0.23,"masculin_la","masculin",27,1,0.94,NA,"la"
"25","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","physiothérapeute","la",0.51,"neutre_la","neutre",26,1,0.87,NA,"la"
"26","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","babysitter","la",0.9,"feminin_la","feminin",31,1,0.93,NA,"la"
"27","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","pilote","la",0.24,"masculin_la","masculin",33,1,0.93,NA,"la"
"28","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","journaliste","la",0.46,"neutre_la","neutre",2,1,0.96,NA,"la"
"29","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","secrétaire","la",0.82,"feminin_la","feminin",1,1,0.79,NA,"la"
"30","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","clown","la",0.18,"masculin_la","masculin",21,1,0.62,NA,"la"
"31","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","violoniste","la",0.56,"neutre_la","neutre",8,1,0.81,NA,"la"
"32","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","mannequin","la",0.68,"feminin_la","feminin",19,1,0.65,NA,"la"
"33","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","bassiste","la",0.29,"masculin_la","masculin",9,1,0.61,NA,"la"
"34","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","guide touristique","la",0.44,"neutre_la","neutre",14,1,0.9,NA,"la"
"35","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","modèle","la",0.65,"feminin_la","feminin",25,1,0.87,NA,"la"
"36","1541872852 3dd6b43b4ae910291c9767df1bbe6c5d","diplomate","la",0.29,"masculin_la","masculin",3,1,0.91,NA,"la"
"37","1542027946 74e4b09ef094269dd63b667726c7b338","graphiste","la",0.43,"neutre_la","neutre",6,1,0.69,NA,"la"
"38","1542027946 74e4b09ef094269dd63b667726c7b338","neurologue","la",0.32,"masculin_la","masculin",10,1,0.78,NA,"la"
"39","1542027946 74e4b09ef094269dd63b667726c7b338","logopédiste","la",0.66,"feminin_la","feminin",23,1,0.92,NA,"la"
"40","1542027946 74e4b09ef094269dd63b667726c7b338","zoologiste","la",0.48,"neutre_la","neutre",18,1,0.7,NA,"la"
"41","1542027946 74e4b09ef094269dd63b667726c7b338","paysagiste","la",0.28,"masculin_la","masculin",16,1,0.9,NA,"la"
"42","1542027946 74e4b09ef094269dd63b667726c7b338","nutritionniste","la",0.74,"feminin_la","feminin",11,1,0.74,NA,"la"
"43","1542027946 74e4b09ef094269dd63b667726c7b338","sténographe","la",0.5,"neutre_la","neutre",30,1,0.71,NA,"la"
"44","1542027946 74e4b09ef094269dd63b667726c7b338","métallurgiste","la",0.21,"masculin_la","masculin",34,1,0.6,NA,"la"
"45","1542027946 74e4b09ef094269dd63b667726c7b338","dactylo","la",0.65,"feminin_la","feminin",29,1,0.72,NA,"la"
"46","1542027946 74e4b09ef094269dd63b667726c7b338","vétérinaire","la",0.49,"neutre_la","neutre",36,1,0.99,NA,"la"
"47","1542027946 74e4b09ef094269dd63b667726c7b338","chimiste","la",0.3,"masculin_la","masculin",22,1,0.81,NA,"la"
"48","1542027946 74e4b09ef094269dd63b667726c7b338","fleuriste","la",0.81,"feminin_la","feminin",17,1,0.99,NA,"la"
"49","1542027946 74e4b09ef094269dd63b667726c7b338","gynécologue","la",0.55,"neutre_la","neutre",12,1,0.64,NA,"la"
"50","1542027946 74e4b09ef094269dd63b667726c7b338","ministre","la",0.25,"masculin_la","masculin",4,1,0.62,NA,"la"
"51","1542027946 74e4b09ef094269dd63b667726c7b338","bibliothécaire","la",0.67,"feminin_la","feminin",35,1,0.93,NA,"la"
"52","1542027946 74e4b09ef094269dd63b667726c7b338","biologiste","la",0.48,"neutre_la","neutre",24,1,0.8,NA,"la"
"53","1542027946 74e4b09ef094269dd63b667726c7b338","taxidermiste","la",0.3,"masculin_la","masculin",28,1,0.99,NA,"la"
"54","1542027946 74e4b09ef094269dd63b667726c7b338","réceptionniste","la",0.74,"feminin_la","feminin",5,1,0.66,NA,"la"
"55","1542048366 e41eb91bc77939ed9b1f462033fb0b53","réceptionniste","la",0.74,"feminin_la","feminin",6,1,0.7,NA,"la"
"56","1542048366 e41eb91bc77939ed9b1f462033fb0b53","biologiste","la",0.48,"neutre_la","neutre",22,1,0.97,NA,"la"
"57","1542048366 e41eb91bc77939ed9b1f462033fb0b53","chimiste","la",0.3,"masculin_la","masculin",23,1,0.97,NA,"la"
"58","1542048366 e41eb91bc77939ed9b1f462033fb0b53","fleuriste","la",0.81,"feminin_la","feminin",18,1,0.65,NA,"la"
"59","1542048366 e41eb91bc77939ed9b1f462033fb0b53","graphiste","la",0.43,"neutre_la","neutre",4,1,0.71,NA,"la"
"60","1542048366 e41eb91bc77939ed9b1f462033fb0b53","métallurgiste","la",0.21,"masculin_la","masculin",35,1,0.73,NA,"la"
"61","1542048366 e41eb91bc77939ed9b1f462033fb0b53","nutritionniste","la",0.74,"feminin_la","feminin",12,1,0.74,NA,"la"
"62","1542048366 e41eb91bc77939ed9b1f462033fb0b53","gynécologue","la",0.55,"neutre_la","neutre",10,1,0.88,NA,"la"
"63","1542048366 e41eb91bc77939ed9b1f462033fb0b53","neurologue","la",0.32,"masculin_la","masculin",11,1,0.64,NA,"la"
"64","1542048366 e41eb91bc77939ed9b1f462033fb0b53","dactylo","la",0.65,"feminin_la","feminin",30,1,0.78,NA,"la"
"65","1542048366 e41eb91bc77939ed9b1f462033fb0b53","sténographe","la",0.5,"neutre_la","neutre",28,1,0.9,NA,"la"
"66","1542048366 e41eb91bc77939ed9b1f462033fb0b53","ministre","la",0.25,"masculin_la","masculin",5,1,0.66,NA,"la"
"67","1542048366 e41eb91bc77939ed9b1f462033fb0b53","logopédiste","la",0.66,"feminin_la","feminin",24,1,0.64,NA,"la"
"68","1542048366 e41eb91bc77939ed9b1f462033fb0b53","vétérinaire","la",0.49,"neutre_la","neutre",34,1,0.79,NA,"la"
"69","1542048366 e41eb91bc77939ed9b1f462033fb0b53","taxidermiste","la",0.3,"masculin_la","masculin",29,1,0.79,NA,"la"
"70","1542048366 e41eb91bc77939ed9b1f462033fb0b53","bibliothécaire","la",0.67,"feminin_la","feminin",36,1,0.6,NA,"la"
"71","1542048366 e41eb91bc77939ed9b1f462033fb0b53","zoologiste","la",0.48,"neutre_la","neutre",16,1,0.82,NA,"la"
"72","1542048366 e41eb91bc77939ed9b1f462033fb0b53","paysagiste","la",0.28,"masculin_la","masculin",17,1,0.88,NA,"la"
"73","1542048894 669a44098a55d07d0a23ce04e598cf91","chimiste","la",0.3,"masculin_la","masculin",23,1,0.64,NA,"la"
"74","1542048894 669a44098a55d07d0a23ce04e598cf91","zoologiste","la",0.48,"neutre_la","neutre",16,1,1,NA,"la"
"75","1542048894 669a44098a55d07d0a23ce04e598cf91","logopédiste","la",0.66,"feminin_la","feminin",24,1,0.71,NA,"la"
"76","1542048894 669a44098a55d07d0a23ce04e598cf91","métallurgiste","la",0.21,"masculin_la","masculin",35,1,0.6,NA,"la"
"77","1542048894 669a44098a55d07d0a23ce04e598cf91","vétérinaire","la",0.49,"neutre_la","neutre",34,1,0.71,NA,"la"
"78","1542048894 669a44098a55d07d0a23ce04e598cf91","réceptionniste","la",0.74,"feminin_la","feminin",6,1,0.97,NA,"la"
"79","1542048894 669a44098a55d07d0a23ce04e598cf91","paysagiste","la",0.28,"masculin_la","masculin",17,1,0.83,NA,"la"
"80","1542048894 669a44098a55d07d0a23ce04e598cf91","graphiste","la",0.43,"neutre_la","neutre",4,1,0.96,NA,"la"
"81","1542048894 669a44098a55d07d0a23ce04e598cf91","fleuriste","la",0.81,"feminin_la","feminin",18,1,0.97,NA,"la"
"82","1542048894 669a44098a55d07d0a23ce04e598cf91","neurologue","la",0.32,"masculin_la","masculin",11,1,0.83,NA,"la"
"83","1542048894 669a44098a55d07d0a23ce04e598cf91","gynécologue","la",0.55,"neutre_la","neutre",10,1,0.82,NA,"la"
"84","1542048894 669a44098a55d07d0a23ce04e598cf91","dactylo","la",0.65,"feminin_la","feminin",30,1,0.7,NA,"la"
"85","1542048894 669a44098a55d07d0a23ce04e598cf91","ministre","la",0.25,"masculin_la","masculin",5,1,0.88,NA,"la"
"86","1542048894 669a44098a55d07d0a23ce04e598cf91","biologiste","la",0.48,"neutre_la","neutre",22,1,0.63,NA,"la"
"87","1542048894 669a44098a55d07d0a23ce04e598cf91","nutritionniste","la",0.74,"feminin_la","feminin",12,1,0.9,NA,"la"
"88","1542048894 669a44098a55d07d0a23ce04e598cf91","taxidermiste","la",0.3,"masculin_la","masculin",29,1,0.85,NA,"la"
"89","1542048894 669a44098a55d07d0a23ce04e598cf91","sténographe","la",0.5,"neutre_la","neutre",28,1,0.7,NA,"la"
"90","1542048894 669a44098a55d07d0a23ce04e598cf91","bibliothécaire","la",0.67,"feminin_la","feminin",36,1,0.78,NA,"la"
"91","1542050102 a94df02934ab6a63061b8a4002f27851","modèle","la",0.65,"feminin_la","feminin",26,1,0.6,NA,"la"
"92","1542050102 a94df02934ab6a63061b8a4002f27851","bagagiste","la",0.19,"masculin_la","masculin",13,1,0.91,NA,"la"
"93","1542050102 a94df02934ab6a63061b8a4002f27851","violoniste","la",0.56,"neutre_la","neutre",9,1,0.77,NA,"la"
"94","1542050102 a94df02934ab6a63061b8a4002f27851","secrétaire","la",0.82,"feminin_la","feminin",2,1,0.66,NA,"la"
"95","1542050102 a94df02934ab6a63061b8a4002f27851","diplomate","la",0.29,"masculin_la","masculin",1,1,0.93,NA,"la"
"96","1542050102 a94df02934ab6a63061b8a4002f27851","pédiatre","la",0.51,"neutre_la","neutre",33,1,1,NA,"la"
"97","1542050102 a94df02934ab6a63061b8a4002f27851","mannequin","la",0.68,"feminin_la","feminin",20,1,0.92,NA,"la"
"98","1542050102 a94df02934ab6a63061b8a4002f27851","bassiste","la",0.29,"masculin_la","masculin",7,1,0.91,NA,"la"
"99","1542050102 a94df02934ab6a63061b8a4002f27851","photographe","la",0.45,"neutre_la","neutre",21,1,0.92,NA,"la"
"100","1542050102 a94df02934ab6a63061b8a4002f27851","flûtiste","la",0.63,"feminin_la","feminin",8,1,0.68,NA,"la"
"101","1542050102 a94df02934ab6a63061b8a4002f27851","croque-mort","la",0.23,"masculin_la","masculin",25,1,0.99,NA,"la"
"102","1542050102 a94df02934ab6a63061b8a4002f27851","guide touristique","la",0.44,"neutre_la","neutre",15,1,0.81,NA,"la"
"103","1542050102 a94df02934ab6a63061b8a4002f27851","manucure","la",0.9,"feminin_la","feminin",14,1,0.67,NA,"la"
"104","1542050102 a94df02934ab6a63061b8a4002f27851","pilote","la",0.24,"masculin_la","masculin",31,1,0.8,NA,"la"
"105","1542050102 a94df02934ab6a63061b8a4002f27851","journaliste","la",0.46,"neutre_la","neutre",3,1,0.9,NA,"la"
"106","1542050102 a94df02934ab6a63061b8a4002f27851","babysitter","la",0.9,"feminin_la","feminin",32,1,0.98,NA,"la"
"107","1542050102 a94df02934ab6a63061b8a4002f27851","clown","la",0.18,"masculin_la","masculin",19,1,0.85,NA,"la"
"108","1542050102 a94df02934ab6a63061b8a4002f27851","physiothérapeute","la",0.51,"neutre_la","neutre",27,1,0.76,NA,"la"
"109","1542050143 5e61d85f04a0afba208cb06fd81b2337","photographe","la",0.45,"neutre_la","neutre",21,1,0.89,NA,"la"
"110","1542050143 5e61d85f04a0afba208cb06fd81b2337","babysitter","la",0.9,"feminin_la","feminin",32,1,0.81,NA,"la"
"111","1542050143 5e61d85f04a0afba208cb06fd81b2337","croque-mort","la",0.23,"masculin_la","masculin",25,1,0.9,NA,"la"
"112","1542050143 5e61d85f04a0afba208cb06fd81b2337","guide touristique","la",0.44,"neutre_la","neutre",15,1,0.6,NA,"la"
"113","1542050143 5e61d85f04a0afba208cb06fd81b2337","flûtiste","la",0.63,"feminin_la","feminin",8,1,0.79,NA,"la"
"114","1542050143 5e61d85f04a0afba208cb06fd81b2337","pilote","la",0.24,"masculin_la","masculin",31,1,0.72,NA,"la"
"115","1542050143 5e61d85f04a0afba208cb06fd81b2337","journaliste","la",0.46,"neutre_la","neutre",3,1,1,NA,"la"
"116","1542050143 5e61d85f04a0afba208cb06fd81b2337","secrétaire","la",0.82,"feminin_la","feminin",2,1,0.81,NA,"la"
"117","1542050143 5e61d85f04a0afba208cb06fd81b2337","diplomate","la",0.29,"masculin_la","masculin",1,1,0.83,NA,"la"
"118","1542050143 5e61d85f04a0afba208cb06fd81b2337","physiothérapeute","la",0.51,"neutre_la","neutre",27,1,0.96,NA,"la"
"119","1542050143 5e61d85f04a0afba208cb06fd81b2337","modèle","la",0.65,"feminin_la","feminin",26,1,0.67,NA,"la"
"120","1542050143 5e61d85f04a0afba208cb06fd81b2337","bagagiste","la",0.19,"masculin_la","masculin",13,1,0.63,NA,"la"
"121","1542050143 5e61d85f04a0afba208cb06fd81b2337","pédiatre","la",0.51,"neutre_la","neutre",33,1,0.74,NA,"la"
"122","1542050143 5e61d85f04a0afba208cb06fd81b2337","mannequin","la",0.68,"feminin_la","feminin",20,1,0.67,NA,"la"
"123","1542050143 5e61d85f04a0afba208cb06fd81b2337","clown","la",0.18,"masculin_la","masculin",19,1,0.75,NA,"la"
"124","1542050143 5e61d85f04a0afba208cb06fd81b2337","violoniste","la",0.56,"neutre_la","neutre",9,1,0.68,NA,"la"
"125","1542050143 5e61d85f04a0afba208cb06fd81b2337","manucure","la",0.9,"feminin_la","feminin",14,1,0.69,NA,"la"
"126","1542050143 5e61d85f04a0afba208cb06fd81b2337","bassiste","la",0.29,"masculin_la","masculin",7,1,0.71,NA,"la"
"127","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","manucure","la",0.9,"feminin_la","feminin",13,1,0.87,NA,"la"
"128","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","physiothérapeute","la",0.51,"neutre_la","neutre",26,1,0.75,NA,"la"
"129","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","diplomate","la",0.29,"masculin_la","masculin",3,1,0.75,NA,"la"
"130","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","flûtiste","la",0.63,"feminin_la","feminin",7,1,0.88,NA,"la"
"131","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","guide touristique","la",0.44,"neutre_la","neutre",14,1,0.79,NA,"la"
"132","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","bassiste","la",0.29,"masculin_la","masculin",9,1,0.86,NA,"la"
"133","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","mannequin","la",0.68,"feminin_la","feminin",19,1,0.72,NA,"la"
"134","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","journaliste","la",0.46,"neutre_la","neutre",2,1,0.74,NA,"la"
"135","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","croque-mort","la",0.23,"masculin_la","masculin",27,1,0.97,NA,"la"
"136","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","modèle","la",0.65,"feminin_la","feminin",25,1,0.63,NA,"la"
"137","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","pédiatre","la",0.51,"neutre_la","neutre",32,1,0.8,NA,"la"
"138","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","clown","la",0.18,"masculin_la","masculin",21,1,0.85,NA,"la"
"139","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","secrétaire","la",0.82,"feminin_la","feminin",1,1,0.8,NA,"la"
"140","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","photographe","la",0.45,"neutre_la","neutre",20,1,0.89,NA,"la"
"141","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","pilote","la",0.24,"masculin_la","masculin",33,1,0.83,NA,"la"
"142","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","babysitter","la",0.9,"feminin_la","feminin",31,1,0.92,NA,"la"
"143","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","violoniste","la",0.56,"neutre_la","neutre",8,1,0.84,NA,"la"
"144","1542050681 8a73593eb0abf06a7511f8f509a1ebb8","bagagiste","la",0.19,"masculin_la","masculin",15,1,0.85,NA,"la"
"145","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","diplomate","la",0.29,"masculin_la","masculin",3,1,0.9,NA,"la"
"146","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","physiothérapeute","la",0.51,"neutre_la","neutre",26,1,0.79,NA,"la"
"147","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","modèle","la",0.65,"feminin_la","feminin",25,1,0.62,NA,"la"
"148","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","bagagiste","la",0.19,"masculin_la","masculin",15,1,0.77,NA,"la"
"149","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","violoniste","la",0.56,"neutre_la","neutre",8,1,0.66,NA,"la"
"150","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","manucure","la",0.9,"feminin_la","feminin",13,1,0.88,NA,"la"
"151","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","croque-mort","la",0.23,"masculin_la","masculin",27,1,0.89,NA,"la"
"152","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","photographe","la",0.45,"neutre_la","neutre",20,1,0.8,NA,"la"
"153","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","flûtiste","la",0.63,"feminin_la","feminin",7,1,0.63,NA,"la"
"154","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","clown","la",0.18,"masculin_la","masculin",21,1,0.88,NA,"la"
"155","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","guide touristique","la",0.44,"neutre_la","neutre",14,1,0.78,NA,"la"
"156","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","secrétaire","la",0.82,"feminin_la","feminin",1,1,0.6,NA,"la"
"157","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","bassiste","la",0.29,"masculin_la","masculin",9,1,0.62,NA,"la"
"158","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","journaliste","la",0.46,"neutre_la","neutre",2,1,0.85,NA,"la"
"159","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","babysitter","la",0.9,"feminin_la","feminin",31,1,0.73,NA,"la"
"160","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","pilote","la",0.24,"masculin_la","masculin",33,1,0.86,NA,"la"
"161","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","pédiatre","la",0.51,"neutre_la","neutre",32,1,0.94,NA,"la"
"162","1542051011 48a9aaca640a33d25e2a98f2b6f2c399","mannequin","la",0.68,"feminin_la","feminin",19,1,0.61,NA,"la"
"163","1542051420 0188918450c806d97e23e06a32abff6b","pédiatre","la",0.51,"neutre_la","neutre",31,1,0.7,NA,"la"
"164","1542051420 0188918450c806d97e23e06a32abff6b","croque-mort","la",0.23,"masculin_la","masculin",26,1,0.61,NA,"la"
"165","1542051420 0188918450c806d97e23e06a32abff6b","modèle","la",0.65,"feminin_la","feminin",27,1,0.64,NA,"la"
"166","1542051420 0188918450c806d97e23e06a32abff6b","physiothérapeute","la",0.51,"neutre_la","neutre",25,1,0.85,NA,"la"
"167","1542051420 0188918450c806d97e23e06a32abff6b","pilote","la",0.24,"masculin_la","masculin",32,1,0.66,NA,"la"
"168","1542051420 0188918450c806d97e23e06a32abff6b","secrétaire","la",0.82,"feminin_la","feminin",3,1,0.6,NA,"la"
"169","1542051420 0188918450c806d97e23e06a32abff6b","journaliste","la",0.46,"neutre_la","neutre",1,1,0.96,NA,"la"
"170","1542051420 0188918450c806d97e23e06a32abff6b","bassiste","la",0.29,"masculin_la","masculin",8,1,0.79,NA,"la"
"171","1542051420 0188918450c806d97e23e06a32abff6b","mannequin","la",0.68,"feminin_la","feminin",21,1,0.91,NA,"la"
"172","1542051420 0188918450c806d97e23e06a32abff6b","photographe","la",0.45,"neutre_la","neutre",19,1,0.63,NA,"la"
"173","1542051420 0188918450c806d97e23e06a32abff6b","bagagiste","la",0.19,"masculin_la","masculin",14,1,0.83,NA,"la"
"174","1542051420 0188918450c806d97e23e06a32abff6b","manucure","la",0.9,"feminin_la","feminin",15,1,0.85,NA,"la"
"175","1542051420 0188918450c806d97e23e06a32abff6b","guide touristique","la",0.44,"neutre_la","neutre",13,1,0.79,NA,"la"
"176","1542051420 0188918450c806d97e23e06a32abff6b","diplomate","la",0.29,"masculin_la","masculin",2,1,0.79,NA,"la"
"177","1542051420 0188918450c806d97e23e06a32abff6b","flûtiste","la",0.63,"feminin_la","feminin",9,1,0.94,NA,"la"
"178","1542051420 0188918450c806d97e23e06a32abff6b","violoniste","la",0.56,"neutre_la","neutre",7,1,0.96,NA,"la"
"179","1542051420 0188918450c806d97e23e06a32abff6b","clown","la",0.18,"masculin_la","masculin",20,1,1,NA,"la"
"180","1542051420 0188918450c806d97e23e06a32abff6b","babysitter","la",0.9,"feminin_la","feminin",33,1,0.73,NA,"la"
"181","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","bagagiste","la",0.19,"masculin_la","masculin",15,1,0.65,NA,"la"
"182","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","pédiatre","la",0.51,"neutre_la","neutre",32,1,0.91,NA,"la"
"183","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","manucure","la",0.9,"feminin_la","feminin",13,1,0.61,NA,"la"
"184","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","clown","la",0.18,"masculin_la","masculin",21,1,0.93,NA,"la"
"185","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","photographe","la",0.45,"neutre_la","neutre",20,1,0.92,NA,"la"
"186","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","modèle","la",0.65,"feminin_la","feminin",25,1,0.75,NA,"la"
"187","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","croque-mort","la",0.23,"masculin_la","masculin",27,1,0.87,NA,"la"
"188","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","physiothérapeute","la",0.51,"neutre_la","neutre",26,1,0.66,NA,"la"
"189","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","flûtiste","la",0.63,"feminin_la","feminin",7,1,0.83,NA,"la"
"190","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","diplomate","la",0.29,"masculin_la","masculin",3,1,0.64,NA,"la"
"191","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","guide touristique","la",0.44,"neutre_la","neutre",14,1,0.74,NA,"la"
"192","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","mannequin","la",0.68,"feminin_la","feminin",19,1,0.67,NA,"la"
"193","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","pilote","la",0.24,"masculin_la","masculin",33,1,0.91,NA,"la"
"194","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","journaliste","la",0.46,"neutre_la","neutre",2,1,0.86,NA,"la"
"195","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","babysitter","la",0.9,"feminin_la","feminin",31,1,0.88,NA,"la"
"196","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","bassiste","la",0.29,"masculin_la","masculin",9,1,0.93,NA,"la"
"197","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","violoniste","la",0.56,"neutre_la","neutre",8,1,0.95,NA,"la"
"198","1542051445 b600b6bc70ba9f26d2d79e15b64cfafc","secrétaire","la",0.82,"feminin_la","feminin",1,1,0.89,NA,"la"
"199","1542052355 778e9d37953edeb49bad43a08d045f2c","biologiste","la",0.48,"neutre_la","neutre",23,1,0.98,NA,"la"
"200","1542052355 778e9d37953edeb49bad43a08d045f2c","ministre","la",0.25,"masculin_la","masculin",6,1,0.89,NA,"la"
"201","1542052355 778e9d37953edeb49bad43a08d045f2c","logopédiste","la",0.66,"feminin_la","feminin",22,1,0.61,NA,"la"
"202","1542052355 778e9d37953edeb49bad43a08d045f2c","zoologiste","la",0.48,"neutre_la","neutre",17,1,0.78,NA,"la"
"203","1542052355 778e9d37953edeb49bad43a08d045f2c","paysagiste","la",0.28,"masculin_la","masculin",18,1,0.63,NA,"la"
"204","1542052355 778e9d37953edeb49bad43a08d045f2c","réceptionniste","la",0.74,"feminin_la","feminin",4,1,0.61,NA,"la"
"205","1542052355 778e9d37953edeb49bad43a08d045f2c","gynécologue","la",0.55,"neutre_la","neutre",11,1,0.76,NA,"la"
